timestamp,image_key,orig_size,new_size,proc_ms
2025-11-24T15:59:51.860307,input/dog_0462.jpg,23981,23981,4.99
2025-11-24T15:59:52.641172,input/dog_0465.jpg,39876,39876,5.68
2025-11-24T15:59:52.679459,input/dog_0466.jpg,56121,56121,2.21
2025-11-24T15:59:53.461097,input/dog_0472.jpg,57431,57431,42.31
2025-11-24T15:59:54.376913,input/dog_0475.jpg,44522,44522,21.94
2025-11-24T15:59:55.125145,input/dog_0480.jpg,37122,37122,9.54
2025-11-24T15:59:55.182992,input/dog_0482.jpg,97384,97384,59.82
2025-11-24T15:59:55.191668,input/dog_0483.jpg,69928,69928,6.73
2025-11-24T15:59:56.043100,input/dog_0489.jpg,16097,16097,0.63
2025-11-24T15:59:56.064442,input/dog_0486.jpg,50830,50830,1.92
2025-11-24T15:59:56.136975,input/dog_0487.jpg,12073,12073,12.52
2025-11-24T15:59:56.881199,input/dog_0490.jpg,39339,39339,21.63
2025-11-24T15:59:57.932854,input/dog_0494.jpg,58993,58993,2.33
2025-11-24T15:59:57.967607,input/dog_0497.jpg,68373,68373,3.02
2025-11-24T15:59:58.538587,input/dog_0499.jpg,26182,26182,1.14
2025-11-24T15:59:58.596962,input/dog_0500.jpg,82075,82075,40.01
2025-11-24T15:59:58.657354,input/dog_0498.jpg,73872,73872,2.84
